"","date","time","mass","speed","energy"
"1","01.01.2019","09:00:00",194,8.4,6.84432
"2","01.01.2019","21:00:00",224,8.8,8.67328
"3","02.01.2019","14:00:00",3104,9.2,131.36128
"4","04.01.2019","15:00:00",228,8,7.296
"5","05.01.2019","23:00:00",755,7,18.4975
"6","08.01.2019","16:00:00",215,6.5,4.541875
"7","10.01.2019","10:00:00",300,7.9,9.3615
"8","11.01.2019","08:00:00",1019,10.4,55.10752
"9","13.01.2019","08:00:00",1288,10.8,75.11616
"10","15.01.2019","05:00:00",344,10,17.2
"11","17.01.2019","14:00:00",707,6,12.726
"12","17.01.2019","18:00:00",938,10.2,48.79476
"13","18.01.2019","01:00:00",79,6.9,1.880595
"14","20.01.2019","03:00:00",260,11.2,16.3072
"15","23.01.2019","08:00:00",220,9.1,9.1091
"16","23.01.2019","10:00:00",253,10.1,12.904265
"17","23.01.2019","14:00:00",2177,7.6,62.87176
"18","24.01.2019","02:00:00",827,8.5,29.875375
"19","24.01.2019","04:00:00",208,11.2,13.04576
"20","25.01.2019","04:00:00",79,9.4,3.49022
"21","26.01.2019","20:00:00",1456,7.1,36.69848
"22","27.01.2019","10:00:00",464,7.8,14.11488
"23","31.01.2019","16:00:00",1131,6.4,23.16288
"24","03.02.2019","03:00:00",140,12.6,11.1132
"25","04.02.2019","12:00:00",274,10.3,14.53433
"26","05.02.2019","03:00:00",12,8.8,0.46464
"27","05.02.2019","04:00:00",419,10.9,24.890695
"28","06.02.2019","14:00:00",292,8.4,10.30176
"29","08.02.2019","12:00:00",169,6.5,3.570125
"30","08.02.2019","12:00:00",308,9,12.474
"31","09.02.2019","23:00:00",3040,10.4,164.4032
"32","10.02.2019","04:00:00",454,7.1,11.44307
"33","11.02.2019","20:00:00",554,8.7,20.96613
"34","12.02.2019","17:00:00",524,4.3,4.84438
"35","15.02.2019","13:00:00",123,9.7,5.786535
"36","15.02.2019","18:00:00",214,10.8,12.48048
"37","17.02.2019","09:00:00",74,9.7,3.48133
"38","17.02.2019","12:00:00",845,4.7,9.333025
"39","18.02.2019","03:00:00",567,8.2,19.06254
"40","20.02.2019","13:00:00",218,7.3,5.80861
"41","21.02.2019","00:00:00",609,12.4,46.81992
"42","23.02.2019","12:00:00",404,10.7,23.12698
"43","23.02.2019","20:00:00",1042,10.5,57.44025
"44","23.02.2019","21:00:00",294,9.8,14.11788
"45","25.02.2019","22:00:00",1917,9.5,86.504625
"46","26.02.2019","17:00:00",1175,9.6,54.144
"47","26.02.2019","23:00:00",1315,3.6,8.5212
"48","01.03.2019","15:00:00",873,6.3,17.324685
"49","01.03.2019","19:00:00",505,8.6,18.6749
"50","01.03.2019","21:00:00",191,10.8,11.13912
"51","02.03.2019","21:00:00",236,8.7,8.93142
"52","04.03.2019","23:00:00",129,8.3,4.443405
"53","07.03.2019","10:00:00",555,8.2,18.6591
"54","07.03.2019","14:00:00",401,9.5,18.095125
"55","07.03.2019","19:00:00",440,9.5,19.855
"56","10.03.2019","12:00:00",286,8.4,10.09008
"57","10.03.2019","18:00:00",154,11.6,10.36112
"58","11.03.2019","13:00:00",463,7.3,12.336635
"59","11.03.2019","20:00:00",539,14.1,53.579295
"60","12.03.2019","18:00:00",2040,11.9,144.4422
"61","12.03.2019","19:00:00",460,6.9,10.9503
"62","17.03.2019","12:00:00",185,6.5,3.908125
"63","17.03.2019","12:00:00",422,10,21.1
"64","18.03.2019","16:00:00",167,8.9,6.614035
"65","22.03.2019","18:00:00",2847,7,69.7515
"66","26.03.2019","00:00:00",44,8.9,1.74262
"67","26.03.2019","06:00:00",45,8.4,1.5876
"68","27.03.2019","16:00:00",312,5.8,5.24784
"69","01.01.2019","09:00:00",38,45.4,39.16204
"70","03.01.2019","06:00:00",187,41.6,161.80736
"71","04.01.2019","10:00:00",36,44.6,35.80488
"72","07.01.2019","14:00:00",6,41.2,5.09232
"73","11.01.2019","06:00:00",65,39.6,50.9652
"74","11.01.2019","16:00:00",58,33.2,31.96496
"75","14.01.2019","11:00:00",365,40.2,294.9273
"76","16.01.2019","02:00:00",22,46.5,23.78475
"77","18.01.2019","06:00:00",146,36.2,95.66212
"78","19.01.2019","17:00:00",29,38.3,21.269905
"79","20.01.2019","22:00:00",40,41.6,34.6112
"80","21.01.2019","11:00:00",304,36.7,204.72728
"81","22.01.2019","21:00:00",33,44.1,32.089365
"82","29.01.2019","07:00:00",50,40,40
"83","06.02.2019","02:00:00",77,38,55.594
"84","10.02.2019","20:00:00",76,39.2,58.39232
"85","14.02.2019","05:00:00",138,33.2,76.05456
"86","15.02.2019","11:00:00",152,24.9,47.12076
"87","16.02.2019","18:00:00",241,40.6,198.62738
"88","25.02.2019","14:00:00",97,30,43.65
"89","28.02.2019","05:00:00",37,32.2,19.18154
"90","28.02.2019","12:00:00",64,34.3,37.64768
"91","07.03.2019","21:00:00",55,31.7,27.634475
"93","10.03.2019","23:00:00",45,32.2,23.3289
"94","11.03.2019","18:00:00",406,44.1,394.79643
"95","17.03.2019","09:00:00",58,33.6,32.73984
"96","20.03.2019","10:00:00",16,42.1,14.17928
"97","21.03.2019","13:00:00",211,29,88.7255
"98","24.03.2019","16:00:00",3,42.3,2.683935
"99","25.03.2019","14:00:00",63,43.2,58.78656
"100","28.03.2019","01:00:00",58,37.2,40.13136
