Datum;Uhrzeit;Masse [kg];Geschwindigkeit [m/s];Kin_Energy [kJ]
01.01.2019;09:00:00;38;45.4;39.16204
03.01.2019;06:00:00;187;41.6;161.80736
04.01.2019;10:00:00;36;44.6;35.80488
07.01.2019;14:00:00;6;41.2;5.09232
11.01.2019;06:00:00;65;39.6;50.9652
11.01.2019;16:00:00;58;33.2;31.96496
14.01.2019;11:00:00;365;40.2;294.9273
16.01.2019;02:00:00;22;46.5;23.78475
18.01.2019;06:00:00;146;36.2;95.66212
19.01.2019;17:00:00;29;38.3;21.269905
20.01.2019;22:00:00;40;41.6;34.6112
21.01.2019;11:00:00;304;36.7;204.72728
22.01.2019;21:00:00;33;44.1;32.089365
29.01.2019;07:00:00;50;40;40
06.02.2019;02:00:00;77;38;55.594
10.02.2019;20:00:00;76;39.2;58.39232
14.02.2019;05:00:00;138;33.2;76.05456
15.02.2019;11:00:00;152;24.9;47.12076
16.02.2019;18:00:00;241;40.6;198.62738
25.02.2019;14:00:00;97;30;43.65
28.02.2019;05:00:00;37;32.2;19.18154
28.02.2019;12:00:00;64;34.3;37.64768
07.03.2019;21:00:00;55;31.7;27.634475
10.03.2019;16:00:00;0;32.3;0
10.03.2019;23:00:00;45;32.2;23.3289
11.03.2019;18:00:00;406;44.1;394.79643
17.03.2019;09:00:00;58;33.6;32.73984
20.03.2019;10:00:00;16;42.1;14.17928
21.03.2019;13:00:00;211;29;88.7255
24.03.2019;16:00:00;3;42.3;2.683935
25.03.2019;14:00:00;63;43.2;58.78656
28.03.2019;01:00:00;58;37.2;40.13136
